"type,tag,priority,question"
"self_pr,strength_clear,1,最初に「私の強みは〇〇です」と一言で言うと、〇〇は何ですか？"
"self_pr,concrete,1,その強みを「コミュニケーション力」など抽象語でなく、具体的に言い換えると何ですか？（例：相手の不安を言語化して整理する 等）"
"self_pr,action,1,その強みを発揮した場面で、あなたが実際に取った行動を順番に教えてください。"
"self_pr,result,1,その行動の結果、何がどう変わりましたか？（評価・反応・成果）"
"self_pr,numbers,2,規模感が伝わるように、人数・回数・期間・頻度などを数字で言えますか？"
"self_pr,reflection,2,うまくいかなかった点は何で、次に同じ場面ならどう改善しますか？"
"self_pr,transfer,2,その強みは、応募先の業務でどう活きると思いますか？具体例で教えてください。"

"motivation,why_here,1,なぜこの職種（この領域）を選んだのですか？決め手を1つに絞って教えてください。"
"motivation,experience_link,1,その志望につながる「きっかけ（体験）」は何ですか？いつ・どこで・何があったかまで。"
"motivation,fit,1,応募先の特徴（理念・取り組み・役割など）のうち、どこに一番惹かれましたか？"
"motivation,evidence,2,その特徴をそう判断した根拠は何ですか？（説明会・実習・HP・見学など）"
"motivation,future,1,入職後にまず50日〜3か月で取り組みたいことを、具体的に教えてください。"
"motivation,value,2,仕事で大切にしたい価値観を1つ挙げ、それが志望理由とどうつながるか教えてください。"

"gakuchika,task,1,その取り組みの目的（課題）は何でしたか？「何を良くしたかったか」を一言で。"
"gakuchika,action,1,あなたがやったことを、手順が再現できるように具体的に教えてください。"
"gakuchika,result,1,結果はどうなりましたか？（成果・評価・変化）"
"gakuchika,numbers,2,数字で示せる部分はありますか？（達成率、件数、時間短縮、満足度など）"
"gakuchika,ingenuity,2,工夫した点は何ですか？他の人でもできることとの差はどこですか？"
"gakuchika,challenge,2,一番苦労した点と、それをどう乗り越えたかを教えてください。"
"gakuchika,reflection,2,そこから学んだことは何で、次はどう改善しますか？"
"gakuchika,transfer,2,その経験は入職後のどんな場面で活かせますか？業務に結びつけて説明してください。"
